race_date,race_id,discipline,official,fund_top7,fund_top3,hits_top5_in_top7,trio_in_top7,quarte_in_top7,quinte_in_top7,winner,winner_top1,winner_top2,winner_top3
2026-07-11,R1C7_2026-07-11,ATTELE_VOLTE,11-6-9-4-7,1-14-8-9-4-11-13,1-14-8,3,False,False,False,11,False,False,False
2026-07-12,R1C3_2026-07-12,PLAT,7-13-9-12-4,13-9-4-10-8-7-16,13-9-4,4,True,False,False,7,False,False,False
2026-07-13,R1C8_2026-07-13,PLAT,5-8-1-16-11,8-16-2-6-4-7-3,8-16-2,2,False,False,False,5,False,False,False
2026-07-14,R1C3_2026-07-14,PLAT,4-2-14-6-10,1-2-5-7-6-4-3,1-2-5,3,False,False,False,4,False,False,False
2026-07-15,R1C8_2026-07-15,ATTELE_AUTOSTART,11-3-4-5-14,1-3-11-4-8-12-13,1-3-11,3,True,False,False,11,False,False,True
2026-07-16,R1C8_2026-07-16,PLAT,14-5-3-10-7,3-6-5-4-9-12-13,3-6-5,2,False,False,False,14,False,False,False
2026-07-17,R1C4_2026-07-17,ATTELE_VOLTE,4-6-2-13-12,3-2-4-10-6-5-9,3-2-4,3,True,False,False,4,False,False,True
2026-07-18,R1C4_2026-07-18,ATTELE_AUTOSTART,13-6-1-12-4,5-6-1-13-2-12-3,5-6-1,4,True,True,False,13,False,False,False
2026-07-19,R1C3_2026-07-19,PLAT,1-13-8-9-4,4-9-7-1-3-13-6,4-9-7,4,False,False,False,1,False,False,False
2026-07-20,R1C8_2026-07-20,PLAT,15-11-1-13-2,5-1-10-2-9-4-6,5-1-10,2,False,False,False,15,False,False,False
2026-07-21,R1C8_2026-07-21,PLAT,4-8-14-13-6,2-4-11-3-6-1-7,2-4-11,2,False,False,False,4,False,True,True
2026-07-22,R1C8_2026-07-22,ATTELE_VOLTE,13-4-6-10-8,10-5-6-13-9-3-14,10-5-6,3,False,False,False,13,False,False,False
2026-07-23,R1C8_2026-07-23,PLAT,6-7-9-14-2,4-6-5-1-2-3-7,4-6-5,3,False,False,False,6,False,True,True
2026-07-24,R1C4_2026-07-24,ATTELE_VOLTE,11-14-2-9-3,14-9-15-10-6-3-12,14-9-15,3,False,False,False,11,False,False,False
2026-07-25,R1C4_2026-07-25,ATTELE_AUTOSTART,7-3-4-13-12,7-1-11-5-4-12-14,7-1-11,3,False,False,False,7,True,True,True
2026-07-26,R1C3_2026-07-26,PLAT,16-8-6-2-7,15-4-3-2-10-13-5,15-4-3,1,False,False,False,16,False,False,False
2026-07-27,R1C5_2026-07-27,STEEPLECHASE,12-13-7-4-1,3-4-16-6-12-8-2,3-4-16,2,False,False,False,12,False,False,False
2026-07-28,R1C8_2026-07-28,PLAT,13-8-7-5-4,3-7-5-1-6-10-2,3-7-5,2,False,False,False,13,False,False,False
2026-07-29,R1C1_2026-07-29,ATTELE_VOLTE,9-13-2-14-8,5-4-11-9-14-13-7,5-4-11,3,False,False,False,9,False,False,False
2026-07-30,R1C7_2026-07-30,PLAT,10-14-12-3-16,14-5-7-8-1-2-3,14-5-7,2,False,False,False,10,False,False,False
2026-07-31,R1C4_2026-07-31,ATTELE_VOLTE,3-4-2-5-8,3-14-13-4-1-12-7,3-14-13,2,False,False,False,3,True,True,True
2026-08-01,R1C3_2026-08-01,PLAT,7-11-2-13-14,13-11-1-5-7-3-4,13-11-1,3,False,False,False,7,False,False,False
2026-08-02,R1C3_2026-08-02,PLAT,16-10-3-5-1,2-3-4-1-13-16-5,2-3-4,4,False,False,False,16,False,False,False
2026-08-03,R1C8_2026-08-03,PLAT,2-8-1-15-6,1-10-8-7-6-16-9,1-10-8,3,False,False,False,2,False,False,False
2026-08-04,R1C8_2026-08-04,PLAT,4-3-6-1-9,3-8-2-5-1-7-4,3-8-2,3,False,False,False,4,False,False,False
2026-08-05,R1C5_2026-08-05,ATTELE_VOLTE,5-3-12-4-8,5-4-14-6-8-3-7,5-4-14,4,False,False,False,5,True,True,True
2026-08-06,R1C8_2026-08-06,ATTELE_VOLTE,11-5-4-1-2,10-11-3-7-4-14-5,10-11-3,3,True,False,False,11,False,True,True
2026-08-07,R1C4_2026-08-07,ATTELE_VOLTE,7-15-14-3-8,15-9-1-12-2-8-6,15-9-1,2,False,False,False,7,False,False,False
2026-08-08,R1C3_2026-08-08,PLAT,3-9-12-15-6,9-4-13-7-15-1-2,9-4-13,2,False,False,False,3,False,False,False
2026-08-09,R1C3_2026-08-09,PLAT,11-13-18-3-1,2-6-9-3-4-1-11,2-6-9,3,False,False,False,11,False,False,False
2026-08-10,R1C5_2026-08-10,PLAT,4-11-2-8-16,11-5-2-4-6-3-16,11-5-2,4,True,False,False,4,False,False,False
2026-08-11,R1C8_2026-08-11,PLAT,3-10-4-7-8,4-8-16-7-1-2-3,4-8-16,4,False,False,False,3,False,False,False
2026-08-12,R1C8_2026-08-12,ATTELE_VOLTE,14-4-3-7-13,2-5-14-8-1-9-6,2-5-14,1,False,False,False,14,False,False,True
2026-08-13,R1C8_2026-08-13,PLAT,3-6-13-1-16,3-8-4-10-11-13-2,3-8-4,2,False,False,False,3,True,True,True
2026-08-14,R1C4_2026-08-14,ATTELE_AUTOSTART,10-4-9-1-13,12-10-13-9-3-4-6,12-10-13,4,True,False,False,10,False,True,True
2026-08-15,R1C3_2026-08-15,PLAT,13-11-7-16-6,9-8-6-2-1-7-4,9-8-6,2,False,False,False,13,False,False,False
2026-08-16,R1C3_2026-08-16,PLAT,8-14-11-5-4,1-6-8-11-2-10-12,1-6-8,2,False,False,False,8,False,False,True
2026-08-17,R1C8_2026-08-17,HAIES,4-2-12-13-15,5-16-4-12-1-8-15,5-16-4,3,False,False,False,4,False,False,True
2026-08-18,R1C8_2026-08-18,PLAT,2-9-13-14-15,5-9-4-3-11-6-8,5-9-4,1,False,False,False,2,False,False,False
2026-08-19,R1C8_2026-08-19,ATTELE_VOLTE,4-10-12-11-7,4-10-13-14-15-2-7,4-10-13,3,False,False,False,4,True,True,True
2026-08-20,R1C8_2026-08-20,PLAT,11-15-6-9-3,6-8-2-9-7-10-16,6-8-2,2,False,False,False,11,False,False,False
2026-08-21,R1C4_2026-08-21,ATTELE_VOLTE,4-13-8-7-3,14-2-13-11-4-9-7,14-2-13,3,False,False,False,4,False,False,False
2026-08-22,R1C3_2026-08-22,PLAT,14-9-5-12-10,4-1-16-3-7-5-10,4-1-16,2,False,False,False,14,False,False,False
2026-08-23,R1C3_2026-08-23,PLAT,13-5-12-6-11,5-2-7-6-14-9-11,5-2-7,3,False,False,False,13,False,False,False
2026-08-24,R1C8_2026-08-24,ATTELE_VOLTE,13-16-3-17-18,17-5-9-13-8-16-3,17-5-9,4,True,True,False,13,False,False,False
2026-08-25,R1C8_2026-08-25,PLAT,14-9-11-6-3,11-4-8-5-10-3-6,11-4-8,3,False,False,False,14,False,False,False
2026-08-26,R1C8_2026-08-26,STEEPLECHASE,6-10-1-4-13,5-2-4-1-11-6-3,5-2-4,3,False,False,False,6,False,False,False
2026-08-27,R1C8_2026-08-27,PLAT,13-1-3-5-14,11-1-3-16-4-8-9,11-1-3,2,False,False,False,13,False,False,False
2026-08-28,R1C4_2026-08-28,ATTELE_VOLTE,5-9-10-16-1,9-6-3-4-7-5-14,9-6-3,2,False,False,False,5,False,False,False
2026-08-29,R1C4_2026-08-29,ATTELE_VOLTE,6-12-13-2-1,7-8-9-6-12-3-5,7-8-9,2,False,False,False,6,False,False,False
2026-08-31,R1C1_2026-08-31,PLAT,1-2-15-14-13,4-13-6-1-8-11-2,4-13-6,3,False,False,False,1,False,False,False
2026-09-02,R1C1_2026-09-02,ATTELE_AUTOSTART,9-13-10-6-11,9-10-13-2-8-1-3,9-10-13,3,True,False,False,9,True,True,True
2026-09-03,R1C1_2026-09-03,PLAT,14-1-10-3-13,13-9-3-8-7-10-16,13-9-3,3,False,False,False,14,False,False,False
2026-09-04,R1C4_2026-09-04,ATTELE_VOLTE,8-11-12-6-2,2-11-6-9-13-4-15,2-11-6,3,False,False,False,8,False,False,False
2026-09-05,R1C4_2026-09-05,ATTELE_VOLTE,10-3-13-6-14,6-13-8-10-3-14-11,6-13-8,5,True,True,True,10,False,False,False
2026-09-06,R1C3_2026-09-06,PLAT,9-2-16-12-1,4-9-12-13-2-8-5,4-9-12,3,False,False,False,9,False,True,True
2026-09-07,R1C1_2026-09-07,ATTELE_VOLTE,13-16-7-3-6,13-16-3-14-8-10-6,13-16-3,4,False,False,False,13,True,True,True
2026-09-08,R1C1_2026-09-08,HAIES,8-14-9-4-5,2-10-16-12-9-3-1,2-10-16,1,False,False,False,8,False,False,False
